"ESPT_CD_ID","EMBA_CD_ID","PORT_CD_ID_ORIGEM","PORT_CD_ID_DESTINO","ESPT_TX_NUM_ESCALA","ESPT_DT_QTO_BOLETIM","ESPT_DT_QTP_BOLETIM","ESPT_NR_DIST_NAVEGADA","ESPT_NR_DIST_TABELADA","ESPT_NR_COMB_EXI_MFO","ESPT_NR_OLEO_PESADO","ESPT_NR_COMB_EXI_MDO_MGO","ESPT_NR_OLEO_DIESEL","ESPT_MD_VELOC_TP","ESPT_MD_CONS_FO","ESPT_MD_CONS_DO","ESPT_IN_CARGA_LASTRO","CEVG_NR_TEMPO","CEVG_NR_OLEO_PESADO","CEVG_NR_OLEO_DIESEL","CEVG_NR_DISTANCIA_NAV","CONSUMO_FO_VIAGEM","CONSUMO_DO_VIAGEM","CONSUMO_TOTAL","CONSUMO_MEDIO_VIAGEM","CONSUMO_FO_DCE","CONSUMO_DO_DCE","CONSUMO_TOTAL_DCE","CONSUMO_MEDIO_DCE","CONSUMO_DO_FCE","CONSUMO_FO_FCE","CONSUMO_TOTAL_FCE","CONSUMO_MEDIO_FCE","VELOC_MEDIA_VIAGEM","VELOC_MEDIA_FCE","VELOC_MEDIA_DCE","TEMPO_VIAGEM","VALOR_PORTO","VEREDITO"
"213066","6301","CISA","CINI","2121","1/16/2014 9:30 AM","1/17/2014 3:16 PM","1","1","1104","101","1163","107","14","63","0","1","0.01","1","0","1","59","6","65","0.02","1","0","1","1","6","58","64","0","0.03","0","100","29","1202","1"
"157680","0YLN","COAR","BELM","39","1/25/2011 12:48 PM","1/28/2011 9:30 PM","1316","1270","159.66","128.24","207.18","132.28","14.5","18","1.25","2","68.4","39.8","3.4","1146","47.52","4.04","51.56","25.52","39.8","3.4","43.2","26.53","0.64","7.72","8.36","20.33","16.45","14.66","16.75","80","1301","1"
"159500","0U7H","COAR","BELM","103","2/23/2011 12:12 PM","2/26/2011 10:12 PM","1320","1270","220.19","37.87","254.42","40.89","9.5","9.45","1.05","2","70.5","30.23","2.69","1187","34.23","3.02","37.25","35.44","30.23","2.69","32.92","36.06","0.33","4","4.33","30.72","16.1","11.57","16.84","82","1301","1"
"159936","0U7H","COAR","BELM","107","3/8/2011 2:00 PM","3/12/2011 2:12 AM","1320","1270","392.6","54.2","429.84","57.2","9.5","9.45","1.05","2","74.5","32.73","2.65","1184","37.24","3","40.24","32.8","32.73","2.65","35.38","33.47","0.35","4.51","4.86","27.98","0.45","0.05","15.89","2916","1301","1"
"161345","6868","COAR","BELM","421","3/26/2011 10:12 AM","3/29/2011 9:42 PM","1270","1270","365.1","47","400.3","51.8","13.6","18","1.5","2","82.9","34.9","4.7","1268","35.2","4.8","40","31.75","34.9","4.7","39.6","32.02","0.1","0.3","0.4","5","15.3","20","15.3","83","1301","1"
"163460","6868","COAR","BELM","429","4/26/2011 11:36 AM","4/30/2011 12:48 AM","1285","1270","258.9","64.9","293","69.1","13.6","18","1.5","2","85.2","34.1","4.2","1285","34.1","4.2","38.3","33.55","34.1","4.2","38.3","33.55","0","0","0","0","15.12","0","15.08","85","1301","1"
"164461","137U","COAR","BELM","17","5/11/2011 8:00 PM","5/14/2011 8:12 PM","1256","1270","233.7","33.8","275.25","38.05","15","16.5","1.2","2","72.24","41.55","4.25","1256","41.55","4.25","45.8","27.42","41.55","4.25","45.8","27.42","0","0","0","0","17.44","0","17.39","72","1301","1"
"165169","137U","COAR","BELM","21","5/24/2011 12:36 PM","5/27/2011 1:30 PM","1277","1270","254.1","70.5","297","73.8","15","16.5","1.2","2","72.96","42.9","3.3","1277","42.9","3.3","46.2","27.64","42.9","3.3","46.2","27.64","0","0","0","0","17.74","0","17.5","72","1301","1"
"165931","6868","COAR","BELM","445","6/14/2011 10:42 AM","6/18/2011 1:48 AM","1296","1270","193.9","50.7","223.6","55.62","13.6","18","1.5","2","87.1","29.7","4.92","1296","29.7","4.92","34.62","37.44","29.7","4.92","34.62","37.44","0","0","0","0","14.9","0","14.88","87","1301","1"
"166328","6868","COAR","BELM","449","6/28/2011 11:00 AM","7/2/2011 12:36 AM","1310","1270","114.2","30.3","148.6","34.8","13.6","18","1.5","2","85.6","34.4","4.5","1305","34.4","4.5","38.9","33.68","34.4","4.5","38.9","33.55","0","0","0","0","15.41","-8.33","15.25","85","1301","1"
"166762","137U","COAR","BELM","33","7/6/2011 8:30 PM","7/10/2011 10:00 AM","1277","1270","261.8","66.65","304.6","71.15","15","16.5","1.2","2","72.35","42.5","3.85","1277","42.8","4.5","47.3","27","42.5","3.85","46.35","27.55","0.65","0.3","0.95","0","0.44","0","17.65","2917","1301","1"
"166956","0U7H","COAR","BELM","151","7/11/2011 9:12 AM","7/14/2011 12:24 PM","1254","1270","406.48","74.13","443.9","77","9.5","9.45","1.05","2","65.3","32.33","2.63","1118","37.42","2.87","40.29","31.12","32.33","2.63","34.96","31.98","0.24","5.09","5.33","25.52","16.72","14.02","17.12","75","1301","1"
"167903","137U","COAR","BELM","37","7/24/2011 6:42 PM","7/28/2011 1:00 AM","1277","1270","162.1","43.8","203.9","47.7","15","16.5","1.2","2","73.44","41.4","3.55","1277","41.8","3.9","45.7","27.94","41.4","3.55","44.95","28.41","0.35","0.4","0.75","0","16.37","0","17.39","78","1301","1"
"168014","0U7H","COAR","BELM","155","7/30/2011 3:42 PM","8/3/2011 3:06 AM","1254","1270","305.54","58.07","347.3","61.32","9.5","9.45","1.05","2","73.6","36.99","2.94","1118","41.76","3.25","45.01","27.86","36.99","2.94","39.93","28","0.31","4.77","5.08","26.77","15.11","14.47","15.19","83","1301","1"
"168904","137U","COAR","BELM","47","8/24/2011 11:54 AM","8/27/2011 3:30 PM","1277","1270","254.8","58.45","296.3","61.9","15","16.5","1.2","2","63.7","34.3","2.9","1095","41.5","3.45","44.95","28.41","34.3","2.9","37.2","29.44","0.55","7.2","7.75","23.48","17.03","16.11","17.19","75","1301","1"
"169500","137U","COAR","BELM","51","9/10/2011 2:48 PM","9/13/2011 7:00 PM","1279","1270","150.3","39.5","192.2","42.75","15","16.5","1.2","2","60.2","35","2.73","1097","41.9","3.25","45.15","28.33","35","2.73","37.73","29.08","0.52","6.9","7.42","24.53","16.83","11.52","18.22","76","1301","1"
"170386","137U","COAR","BELM","61","10/5/2011 2:00 PM","10/9/2011 2:30 AM","1279","1270","232.2","65.45","270.8","69.24","15","16.5","1.2","2","84.52","38.6","3.79","1279","38.6","3.79","42.39","30.17","38.6","3.79","42.39","30.17","0","0","0","0","0.44","0","15.13","2940","1301","1"
"170557","0U7H","COAR","BELM","175","10/10/2011 2:12 PM","10/14/2011 12:36 PM","1320","1270","272.86","36.59","309.9","40.27","9.5","9.45","1.05","2","84.5","32.48","3.36","1184","37.04","3.68","40.72","32.42","32.48","3.36","35.84","33.04","0.32","4.56","4.88","27.87","14.04","14.32","14.01","94","1301","1"
"171299","0U7H","COAR","BELM","183","10/31/2011 12:30 PM","11/4/2011 1:54 AM","1320","1270","414.36","61.32","453.12","64.32","9.5","9.45","1.05","2","75.5","38.76","2.67","1184","38.76","3","41.76","31.61","38.76","2.67","41.43","28.58","0.33","0","0.33","412.12","15.53","14.32","15.68","85","1301","1"
"171798","137U","COAR","BELM","77","11/19/2011 8:30 PM","11/23/2011 4:30 AM","1279","1270","94.7","61","135.88","64.73","15","16.5","1.2","2","79.98","41.18","3.73","1279","41.18","3.73","44.91","28.48","41.18","3.73","44.91","28.48","0","0","0","0","15.99","0","15.99","80","1301","1"
"172169","8798","COAR","BELM","479","11/28/2011 6:12 PM","12/2/2011 9:00 AM","1256","1270","303.31","18.65","341.5","22.2","12.5","12.75","1.5","2","86.75","38.19","3.55","1256","38.19","3.55","41.74","30.09","38.19","3.55","41.74","30.09","0","0","0","0","14.6","0","14.48","86","1301","1"
"172370","0U7H","COAR","BELM","191","12/8/2011 3:30 PM","12/12/2011 1:00 PM","1334","1270","345.87","74.53","385.7","77.91","9.5","9.45","1.05","2","83.6","34.93","3.03","1198","39.83","3.38","43.21","30.87","34.93","3.03","37.96","31.56","0.35","4.9","5.25","25.9","0.46","0.05","14.33","2925","1301","1"
"173456","137U","COAR","BELM","89","1/7/2012 3:00 PM","1/11/2012 7:30 AM","1279","1270","260.34","88.18","300","93","15","16.5","1.2","2","78.98","39.46","4.47","1279","39.66","4.82","44.48","28.75","39.46","4.47","43.93","29.11","0.35","0.2","0.55","0","0.43","0","16.19","2944","1301","1"
"173924","0U7H","COAR","BELM","199","1/16/2012 5:12 PM","1/20/2012 10:00 AM","1331","1270","378.98","61.87","416.41","65.18","9.5","9.45","1.05","2","78.8","32.64","2.96","1195","37.43","3.31","40.74","32.67","32.64","2.96","35.6","33.57","0.35","4.79","5.14","26.46","15.12","14.78","15.16","88","1301","1"
"174179","137U","COAR","BELM","93","1/23/2012 4:00 PM","1/26/2012 10:00 PM","1279","1270","166.94","72.41","205.44","75.76","15","16.5","1.2","2","76.77","38.5","3.35","1279","38.5","3.35","41.85","30.56","38.5","3.35","41.85","30.56","0","0","0","0","16.4","0","16.66","78","1301","1"
"175391","0U7H","COAR","BELM","215","3/1/2012 5:42 PM","3/5/2012 10:00 AM","1320","1270","373.16","68.13","410.88","71.12","13.5","12.6","1.05","2","87.3","37.72","2.99","1320","37.72","2.99","40.71","32.42","37.72","2.99","40.71","32.42","0","0","0","0","0.46","0","15.12","2896","1301","1"
"175955","137U","COAR","BELM","105","3/18/2012 3:00 PM","3/21/2012 6:00 PM","1279","1270","260.77","64.65","297.87","67.95","15","16.5","1.2","2","75","37.1","3.3","1279","37.1","3.3","40.4","31.66","37.1","3.3","40.4","31.66","0","0","0","0","17.05","0","17.05","75","1301","1"
"176055","13JB","COAR","BELM","99","3/23/2012 6:30 PM","3/27/2012 4:00 PM","1335","1270","164.4","46","197.4","50.1","13","12.25","1","2","87.3","33","4.1","1335","33","4.1","37.1","35.98","33","4.1","37.1","35.98","0","0","0","0","14.35","0","15.29","93","1301","1"
"176450","137U","COAR","BELM","109","4/5/2012 2:00 PM","4/8/2012 5:30 PM","1276","1270","163.87","43.6","201.17","47.15","15","16.5","1.2","2","62.5","30.1","2.9","1097","37.3","3.55","40.85","31.24","30.1","2.9","33","33.24","0.65","7.2","7.85","22.8","0.58","0.08","17.55","2211","1301","1"
"177025","13JB","COAR","BELM","109","4/24/2012 4:30 PM","4/28/2012 6:30 AM","1343","1270","240.6","60","274.3","63.5","13","12.25","1","2","81.9","33.7","3.5","1343","33.7","3.5","37.2","36.1","33.7","3.5","37.2","36.1","0","0","0","0","15.62","0","16.4","86","1301","1"
"177478","13JB","COAR","BELM","113","5/7/2012 3:30 PM","5/11/2012 6:15 AM","1343","1270","156","45.6","189.5","48.9","13","12.25","1","2","83.6","33.5","3.1","1343","33.5","3.3","36.8","36.49","33.5","3.1","36.6","36.69","0.2","0","0.2","0","0.46","0","16.06","2942","1301","1"
"177591","0YLN","COAR","BELM","199","5/11/2012 5:30 PM","5/15/2012 7:42 AM","1282","1270","294.84","75.04","341","80.44","13","13","1.25","2","66.3","38.5","2.99","1136","46.16","5.4","51.56","24.86","38.5","2.99","41.49","27.38","2.41","7.66","10.07","14.5","14.91","7.41","17.13","86","1301","1"
"178125","130F","COAR","BELM","113","5/27/2012 11:48 AM","5/30/2012 11:12 AM","1270","1270","218.44","61.27","256.72","63.94","15","16.5","1.2","2","58.1","31.54","2.41","1058","38.28","2.67","40.95","31.01","31.54","2.41","33.95","31.16","0.26","6.74","7","30.29","17.89","16.43","18.21","71","1301","1"
"178302","0YLN","COAR","BELM","209","6/5/2012 1:36 PM","6/9/2012 4:00 AM","1285","1270","427.33","125.46","472.79","129.7","13","13","1.25","2","66.9","37.74","2.94","1145","45.46","4.24","49.7","25.86","37.74","2.94","40.68","28.15","1.3","7.72","9.02","15.52","0.44","0.05","17.12","2942","1301","1"
"179209","6868","COAR","BELM","567","7/1/2012 3:18 PM","7/5/2012 3:30 AM","1290","1270","370.2","58.69","410.02","62.44","13.6","18","1.5","2","84.2","39.82","3.75","1290","39.82","3.75","43.57","29.61","39.82","3.75","43.57","29.61","0","0","0","0","0.45","0","15.32","2892","1301","1"
"179395","0YLN","COAR","BELM","223","7/6/2012 10:12 AM","7/10/2012 5:36 AM","1323","1270","339.69","128.87","383.21","134.41","13","13","1.25","2","66","35.7","3.06","1139","43.52","5.54","49.06","26.97","35.7","3.06","38.76","29.39","2.48","7.82","10.3","17.86","0.45","0.06","17.26","2923","1301","1"
"179555","0U7H","COAR","BELM","257","7/11/2012 6:00 PM","7/15/2012 7:00 AM","1320","1270","198.42","38.94","234.35","42.25","13.5","12.6","1.05","2","85","35.93","3.31","1320","35.93","3.31","39.24","33.64","35.93","3.31","39.24","33.64","0","0","0","0","15.53","0","15.53","85","1301","1"
"179720","13JB","COAR","BELM","123","7/17/2012 4:00 PM","7/21/2012 3:02 AM","1344","1270","264.7","68.8","301.7","72.8","13","12.25","1","2","81.59","37","4","1344","37","4","41","32.78","37","4","41","32.78","0","0","0","0","16.19","0","16.47","83","1301","1"
"180067","0U7H","COAR","BELM","261","7/23/2012 2:54 PM","7/27/2012 4:48 AM","1320","1270","111.82","60.08","147.95","63.5","13.5","12.6","1.05","2","85.9","36","3.42","1320","36.13","3.42","39.55","33.38","36","3.42","39.42","33.49","0","0.13","0.13","0","15.53","0","15.37","85","1301","1"
"180314","130F","COAR","BELM","139","7/29/2012 10:42 AM","8/1/2012 3:00 PM","1270","1270","175.31","47.75","218.93","50.84","15","16.5","1.2","2","58.6","34.7","2.53","1058","43.62","3.09","46.71","27.19","34.7","2.53","37.23","28.42","0.56","8.92","9.48","22.36","16.71","12.18","18.05","76","1301","1"
"180895","130F","COAR","BELM","143","8/10/2012 2:00 PM","8/13/2012 2:48 PM","1270","1270","68.11","89.81","112.36","92.74","15","16.5","1.2","2","58.5","35.26","2.36","1058","44.25","2.93","47.18","26.92","35.26","2.36","37.62","28.12","0.57","8.99","9.56","22.18","17.64","15.7","18.09","72","1301","1"
"181102","6868","COAR","BELM","579","8/16/2012 9:24 AM","8/20/2012 1:24 AM","1281","1270","342.5","67.76","381.9","74.21","13.6","18","1.5","2","83.8","38.8","5.79","1281","39.4","6.45","45.85","27.94","38.8","5.79","44.59","28.73","0.66","0.6","1.26","0","14.56","0","15.29","88","1301","1"
"181314","130F","COAR","BELM","147","8/23/2012 10:18 AM","8/26/2012 12:42 PM","1250","1270","252.53","76.75","295.69","79.75","13","14.6","1.2","2","60.9","35.33","2.57","1058","43.16","3","46.16","27.08","35.33","2.57","37.9","27.92","0.43","7.83","8.26","23.24","16.89","14.66","17.37","74","1301","1"
"181745","13JB","COAR","BELM","131","8/28/2012 10:00 AM","9/1/2012 2:39 AM","1300","1270","79.6","13.6","117.8","18.3","13","12.25","1","2","63.5","27.8","3","990","38.2","4.7","42.9","30.3","27.8","3","30.8","32.14","1.7","10.4","12.1","25.62","14.77","12.65","15.59","88","1301","1"
"182897","0YLN","COAR","BELM","245","8/31/2012 7:42 PM","9/5/2012 3:12 AM","1325","1270","400.22","113.86","448.48","121.19","13","13","1.25","2","67.9","39.74","3.24","1129","48.26","7.33","55.59","23.84","39.74","3.24","42.98","26.27","4.09","8.52","12.61","15.54","12.86","5.58","16.63","103","1301","1"
"183480","6868","COAR","BELM","589","9/7/2012 10:48 AM","9/11/2012 9:54 PM","1293","1270","381.47","89.09","416.57","97.96","13.6","18","1.5","2","85.7","35.1","8.01","1293","35.1","8.87","43.97","29.41","35.1","8.01","43.11","29.99","0.86","0","0.86","0","0.44","0","15.09","2963","1301","1"
"183736","13JB","COAR","BELM","135","9/13/2012 4:20 PM","9/17/2012 1:30 PM","1300","1270","193.7","51.8","230.9","56.4","13","12.25","1","2","65","27","3.7","998","37.2","4.6","41.8","31.1","27","3.7","30.7","32.51","0.9","10.2","11.1","27.21","13.98","10.79","15.35","93","1301","1"
"98238","6135","COAR","BELM","1211","1/4/2009 3:24 PM","1/7/2009 2:00 AM","1324","1324","234.26","28.17","270.58","31.1","15","15.25","1","2","82.6","36.32","2.93","1324","36.32","2.93","39.25","33.73","36.32","2.93","39.25","33.73","0","0","0","0","0.61","0","16.03","2170","1301","1"
