"ESPT_CD_ID","EMBA_CD_ID","PORT_CD_ID_ORIGEM","PORT_CD_ID_DESTINO","ESPT_TX_NUM_ESCALA","CEVG_DT_INICIO","ESPT_DT_QTO_BOLETIM","ESPT_DT_QTP_BOLETIM","ESPT_NR_DIST_NAVEGADA","ESPT_NR_DIST_TABELADA","ESPT_NR_COMB_EXI_MFO","ESPT_NR_OLEO_PESADO","ESPT_NR_COMB_EXI_MDO_MGO","ESPT_NR_OLEO_DIESEL","ESPT_MD_VELOC_TP","ESPT_MD_CONS_FO","ESPT_MD_CONS_DO","ESPT_IN_CARGA_LASTRO","CEVG_NR_TEMPO","CEVG_NR_OLEO_PESADO","CEVG_NR_OLEO_DIESEL","CEVG_NR_DISTANCIA_NAV","CONSUMO_FO_VIAGEM","CONSUMO_DO_VIAGEM","CONSUMO_TOTAL","CONSUMO_MEDIO_VIAGEM","CONSUMO_FO_DCE","CONSUMO_DO_DCE","CONSUMO_TOTAL_DCE","CONSUMO_MEDIO_DCE","CONSUMO_DO_FCE","CONSUMO_FO_FCE","CONSUMO_TOTAL_FCE","CONSUMO_MEDIO_FCE","VELOC_MEDIA_VIAGEM","VELOC_MEDIA_FCE","VELOC_MEDIA_DCE","TEMPO_VIAGEM","DELETED","DELETION_DATE","INSERT_DATE","UPDATE_DATE"
169981,"4098","BAIR","SLOR","57",,26/09/2011 13:18:00,27/09/2011 15:00:00,230,205,587,12,75,2,614,67,75,2,14,36,5,0,2,"C",21,25,63,0,230,27,55,0,27,55,8,35,25,63,0,25,63,8,97,0,1,92,1,92,0,9,2,0,10,95,25,0,,,
118263,"6276","BAIR","SNOS","761",,21/08/2009 12:30:00,24/08/2009 03:00:00,893,893,691,5,116,5,808,5,116,5,15,45,0,"L",10,25,19,5,0,130,117,0,117,7,63,19,5,0,19,5,6,67,0,97,5,97,5,7,83,14,4,14,74,12,68,62,0,,,
142695,"6148","BAIR","SNOS","869",,26/05/2010 16:30:00,29/05/2010 16:30:00,985,985,927,131,1058,8,131,15,45,0,"L",10,5,10,6,0,112,131,8,0,131,8,7,47,10,6,0,10,6,10,57,0,121,2,121,2,7,2,13,68,14,2,10,67,72,0,,,
149081,"6148","BAIR","SNOS","885",,16/08/2010 00:00:00,18/08/2010 22:00:00,990,990,895,88,1,1027,88,1,15,45,0,"L",9,13,6,0,112,132,0,132,7,5,13,6,0,13,6,8,24,0,118,4,118,4,7,42,14,14,14,39,12,44,70,0,,,
165000,"6386","BAIR","SNOS","335",,18/05/2011 04:00:00,21/05/2011 13:30:00,988,988,1191,7,138,1280,5,138,13,26,0,"L",10,11,0,103,88,8,0,88,8,11,13,11,0,11,9,36,0,77,8,77,8,11,38,12,2,12,46,10,3,81,0,,,
166227,"6806","BAIR","SNOS","165",,27/06/2011 08:00:00,30/06/2011 12:30:00,980,980,444,9,74,7,525,8,79,13,26,0,"L",10,10,6,0,99,80,9,4,3,85,2,11,5,10,6,0,10,6,9,34,4,3,70,3,74,6,11,81,12,89,13,35,9,9,76,0,,,
166629,"134","BAIR","SNOS","1205",,06/07/2011 16:00:00,11/07/2011 11:00:00,1495,976,437,21,553,30,11,8,23,1,"C",11,10,6,0,5,135,116,9,125,11,96,10,6,0,5,11,1,12,16,8,5,105,4,113,9,11,94,0,41,0,37,12,27,3667,0,,,
176995,"6148","BAIR","SNOS","1029",,28/04/2012 11:30:00,01/05/2012 15:00:00,974,974,1128,164,1210,164,13,28,0,"L",9,5,10,5,0,110,82,0,82,11,88,10,5,0,10,5,10,48,0,71,5,71,5,12,08,12,99,13,19,11,58,75,0,,,
204292,"6536","BAIR","SNOS","1177",,23/08/2013 04:20:00,26/08/2013 11:00:00,1006,1006,383,9,19,470,5,19,13,26,0,"L",10,67,12,9,0,118,86,6,0,86,6,11,62,12,9,0,12,9,9,15,0,73,7,73,7,12,05,12,9,13,19,11,06,78,0,,,
248324,"6826","BAIR","SNOS","1357",,29/03/2017 23:00:00,02/04/2017 09:00:00,1025,1025,1181,4,54,1,1268,9,59,1,12,5,26,0,"L",8,5,9,1,0,103,87,5,5,92,5,11,08,9,1,0,9,1,11,32,5,78,4,83,4,11,06,12,5,12,54,12,12,82,0,,,
