"ID_ANALISE","COND_ESPECIAL","ORIGEM_PORTO","DESTINO_PORTO","DISTANCIA_AREA_RESTRITA_HISTORICO","TEMPO_AREA_RESTRITA_HISTORICO","CONSUMO_AREA_RESTRITA_HISTORICO","VEREDITO_DISTANCIA","VEREDITO_DURACAO","VEREDITO_CONSUMO","VEREDITO_CONDICAO_ESPECIAL","DISTANCIA_AREA_RESTRITA","TEMPO_AREA_RESTRITA","CONSUMO_AREA_RESTRITA","CARGA_LASTRO","NAVIO","DISTANCIA_PORCENTAGEM","TEMPO_PORCENTAGEM","CONSUMO_PORCENTAGEM"
"10275","280909","MAUS","ITAC","103.29032","5.9573116","7.444945","1","1","1","1","104","5","6.7","C","1CQ3","0.68707466","-16.069525","-10.006052"
"10276","280911","MAUS","ITAC","103.29032","5.9573116","7.444945","1","1","1","1","102","6.2","7.4","C","23HS","-1.249218","4.0737867","-0.6036937"
"10277","280992","COAR","MAUS","235.30624","14.136591","10.62653","0","0","0","0","13","0.75","0.44","C","20Y4","-94.47529","-94.69462","-95.85942"
"10278","281058","BELM","MAUS","852.3582","69.99224","37.181194","1","1","1","1","885","78.3","40.449997","L","1YJC","3.8295865","11.86955","8.7915535"
"10279","281073","MAUS","COAR","235.31624","23.401955","14.880716","1","1","0","0","231","20.5","8.5","L","20Y4","-1.8342316","-12.400478","-42.879093"
"10280","281075","MAUS","COAR","235.31624","23.401955","14.880716","1","1","0","0","229","21.1","11.150001","L","1YJC","-2.6841462","-9.83659","-25.07081"
"10281","281084","COAR","BELM","1157.102","70.29336","38.67143","1","1","0","0","1165","65.2","91.37","C","1YIH","0.68256855","-7.2458625","136.27261"
"10282","281124","PALR","RNDE","156.90805","15.968277","7.6451726","0","0","1","0","119","11.5","7.92","L","1X5F","-24.1594","-27.982212","3.59478"
"10283","281126","MAUS","ITAC","103.29032","5.9573116","7.444945","1","0","0","0","108","18.53","10.6","C","17HL","4.559648","211.04636","42.378498"
"10284","281130","SAOL","FAZE","282.1111","23.616667","25.356667","0","0","0","0","674","56","58.39","C","1LPY","138.91296","137.12068","130.27475"
