"ID_ANALISE","ID_COND_ESPECIAL","ORIGEM_PORTO","DESTINO_PORTO","DISTANCIA_AREA_RESTRITA_HISTORICO","TEMPO_AREA_RESTRITA_HISTORICO","CONSUMO_AREA_RESTRITA_HISTORICO","VEREDITO_DISTANCIA","VEREDITO_DURACAO","VEREDITO_CONSUMO","VEREDITO_CONDICAO_ESPECIAL","DISTANCIA_AREA_RESTRITA","TEMPO_AREA_RESTRITA","CONSUMO_AREA_RESTRITA","CARGA_LASTRO","NAVIO","DISTANCIA_PORCENTAGEM","TEMPO_PORCENTAGEM","CONSUMO_PORCENTAGEM"
"9631","289817","COAR","CODA","72.5","4.05625","2.12875","1","1","1","1","72","4.4","1.9300001","C","28VV","-0.68965554","8.474577","-9.336466"
"9632","289833","MAUS","COAR","235.31624","23.401955","14.880716","1","1","0","0","234","23.9","8.17","L","1YIH","-0.55934787","2.1282196","-45.096733"
"9633","289839","BELM","MAUS","852.3582","69.99224","37.181194","0","0","1","0","1075","91.7","34.5","L","1YIH","26.120686","31.014515","-7.211155"
"9634","289865","CODA","COAR","120","11.405001","4.625","0","0","0","0","71","7.18","2.44","L","25R5","-40.833336","-37.045162","-47.243244"
"9635","289873","COAR","BELM","1157.102","70.29336","38.67143","0","1","0","0","1016","68","30.25","C","25R5","-12.194437","-3.2625556","-21.776873"
"9636","289898","BELM","MAUS","852.3582","69.99224","37.181194","1","1","1","1","884","71.9","36.190002","L","1YJC","3.7122607","2.7256727","-2.6658416"
"9637","289901","CODA","COAR","120","11.405001","4.625","0","0","0","0","67","6.5","3.5","L","20Y4","-44.166668","-43.007458","-24.324322"
"9638","289907","FAZE","ITAC","329.31033","28.511724","28.600346","0","0","0","0","606","59","76","C","1BW2","84.02095","106.93243","165.73105"
"9639","289915","SALV","CABE","30","5","8","0","0","0","0","18","2","2.1","C","17HL","-39.999996","-60.000004","-73.75"
"9640","289922","MAUS","COAR","236.76471","23.310589","14.2658825","1","1","0","0","237","24.2","10.03","C","28VV","0.099372864","3.815484","-29.6924"
"9641","289928","FAZE","ITAC","329.31033","28.511724","28.600346","0","0","0","0","621","61","57.6","C","17MT","88.57592","113.94708","101.39616"
"9642","290010","VITR","ALTO","27","3.3","2.14","1","1","1","1","27","3.3","2.14","L","12BF","0","0","0"
"9643","290027","XARE","MAUS","871.8611","86.91389","85.10917","1","1","0","0","899","88.5","68.6","C","0RRF","3.1127572","1.8249273","-19.39764"
"9644","290067","MAUS","ITAC","103.29032","5.9573116","7.444945","1","1","0","0","108","6","5","C","1HZM","4.559648","0.71656704","-32.840336"
"9645","290068","ITAC","MAUS","103.01923","9.172115","10.700768","1","0","0","0","100","7.5","31.5","C","1HZM","-2.9307485","-18.230421","194.37138"
"9646","290073","ITAC","MAUS","103.01923","9.172115","10.700768","1","1","1","1","108","9.83","9.8","C","29UD","4.834795","7.172656","-8.417791"
"9647","290074","SAOL","FAZE","282.1111","23.616667","25.356667","0","0","0","0","574","59.6","57","C","29UD","103.46594","152.36414","124.79295"
"9648","290096","COAR","SAOL","1213.4603","77.65856","39.126026","0","1","0","0","1088","74.27","31.26","C","28VV","-10.339058","-4.3634176","-20.10433"
"9649","290097","CODA","MAUS","160.66667","11.25","12.666667","1","0","0","0","153","9.5","3.98","C","28VV","-4.7717867","-15.555554","-68.57895"
"9650","290118","COAR","BELM","1157.102","70.29336","38.67143","0","0","1","0","1314","106.7","35.53","C","1YIH","13.559556","51.79243","-8.123386"
"9651","290199","MAUS","COAR","235.31624","23.401955","14.880716","0","0","0","0","190","19","9","L","20Y4","-19.257593","-18.8102","-39.519043"
"9652","290201","BELM","BADO","77","5.83","3.38","1","1","1","1","77","5.83","3.38","L","25R5","0","0","0"
"9653","290202","BELM","MAUS","852.3582","69.99224","37.181194","1","1","1","1","885","71.6","35.969997","L","1YJC","3.8295865","2.2970557","-3.2575548"
"9654","290203","MAUS","COAR","235.31624","23.401955","14.880716","1","0","0","0","221","20.1","10.599999","L","1YJC","-6.083828","-14.109736","-28.766876"
"9655","290219","MAUS","ITAC","103.29032","5.9573116","7.444945","1","1","0","0","108","6.5","6","C","1HZM","4.559648","9.109616","-19.408405"
"9656","290235","ITAC","SAOL","814.64703","53.63176","51.88353","0","0","0","0","925","64.8","62.8","L","257J","13.546109","20.823933","21.040333"
"9657","290247","FAZE","ITAC","329.31033","28.511724","28.600346","0","0","0","0","611","58.95","59","C","29UD","85.53927","106.75704","106.29122"
"9658","290274","SUAP","FAZE","194.72223","17.168333","19.551668","0","0","1","0","336","31.3","21","C","290V","72.55349","82.31239","7.407713"
